TEMP,SOAKTIME,SOKAPCT,DIFFTIME,DIFFPCT,PITCH
1650,0.58,1.1,0.25,0.9,0.013
1650,0.66,1.1,0.33,0.9,0.016
1650,0.66,1.1,0.33,0.9,0.015
1650,0.66,1.1,0.33,0.95,0.016
1600,0.66,1.15,0.33,1,0.015
1600,0.66,1.15,0.33,1,0.016
1650,1,1.1,0.5,0.8,0.014
1650,1.17,1.1,0.58,0.8,0.021
1650,1.17,1.1,0.58,0.8,0.018
1650,1.17,1.1,0.58,0.8,0.019
1650,1.17,1.1,0.58,0.9,0.021
1650,1.17,1.1,0.58,0.9,0.019
1650,1.17,1.15,0.58,0.9,0.021
1650,1.2,1.15,1.1,0.8,0.025
1650,2,1.15,1,0.8,0.025
1650,2,1.1,1.1,0.8,0.026
1650,2.2,1.1,1.1,0.8,0.024
1650,2.2,1.1,1.1,0.8,0.025
1650,2.2,1.5,1.1,0.8,0.024
1650,2.2,1.1,1.1,0.9,0.025
1650,2.2,1.1,1.1,0.9,0.027
1650,2.2,1.1,1.5,0.9,0.026
1650,3,1.15,1.5,0.8,0.029
1650,3,1.1,1.5,0.7,0.03
1650,3,1.1,1.5,0.75,0.028
1650,3,1.15,1.66,0.85,0.032
1650,3.33,1.1,1.5,0.8,0.033
1700,4,1.1,1.5,0.7,0.039
1650,4,1.1,1.5,0.7,0.04
1650,4,1.15,1.5,0.85,0.035
1700,12.5,1,1.5,0.7,0.056
1700,18.5,1,1.5,0.7,0.068
