Team,W,L,OTL,PTS,GF,GA,ADV,PPGF,PCTG,PEN,BMI,AVG,SHT,PPGA,PKPCT,SHGF,SHFA,FG
Anaheim,42,33,7,91,238,235,309,73,23.6,1418,8,17.4,385,78,79.7,6,6,43
Atlanta,35,41,6,76,250,279,357,69,19.3,1244,12,15.3,366,88,76,13,9,39
Boston,53,19,10,116,270,190,313,74,23.6,1016,12,12.5,306,54,82.4,8,7,47
Buffalo,41,32,9,91,242,229,358,75,21,1105,16,13.7,336,61,81.8,7,4,44
Carolina,45,30,7,97,236,221,374,70,18.7,786,16,9.8,301,59,80.4,8,7,39
Columbus,41,31,10,92,220,223,322,41,12.7,1207,20,15,346,62,82.1,8,9,41
Calgary,46,30,6,98,251,246,358,61,17,1281,18,15.8,349,58,83.4,6,13,37
Chicago,46,24,12,104,260,209,363,70,19.3,1129,28,14.1,330,64,80.6,10,5,43
Colorado,32,45,5,69,190,253,318,50,15.7,1044,18,13,318,64,79.9,4,5,31
Dallas,36,35,11,83,224,251,351,54,15.4,1134,10,14,327,70,78.6,2,2,38
Detroit,51,21,10,112,289,240,353,90,25.5,810,14,10,327,71,78.3,6,4,46
Edmonton,38,35,9,85,228,244,354,60,17,1227,20,15.2,338,76,77.5,3,8,39
Florida,41,30,11,93,231,223,308,51,16.6,884,16,11,311,54,82.6,7,6,39
LosAngeles,34,37,11,79,202,226,360,69,19.2,1191,16,14.7,362,62,82.9,4,7,39
Minnesota,40,33,9,89,214,197,328,66,20.1,869,20,10.8,291,36,87.6,9,6,39
Montreal,41,30,11,93,242,240,374,72,19.2,1223,6,15,370,65,82.4,10,10,38
NewJersey,51,27,4,106,238,207,307,58,18.9,1038,20,12.9,324,65,79.9,12,3,44
Nashville,40,34,8,88,207,228,318,50,15.7,982,12,12.1,338,59,82.5,9,8,41
NIIslanders,26,47,9,61,198,274,320,54,16.9,1198,18,14.8,361,73,79.8,12,5,37
NYRangers,43,30,9,95,200,212,346,48,13.9,1175,24,14.6,329,40,87.8,9,13,42
Ottawa,36,35,11,83,213,231,339,66,19.5,1084,14,13.4,346,64,81.5,8,5,46
Philadelphia,44,27,11,99,260,232,316,71,22.5,1408,26,17.5,393,67,83,16,1,43
Phoenix,36,39,7,79,205,249,344,50,14.5,1074,18,13.3,293,68,76.8,5,4,36
Pittsburgh,45,28,9,99,258,233,360,62,17.2,1106,8,13.6,347,60,82.7,7,11,46
SanJose,53,18,11,117,251,199,360,87,24.2,1037,16,12.8,306,51,83.3,12,10,46
St.Louis,41,31,10,92,227,227,351,72,20.5,1226,22,15.2,357,58,83.8,10,8,35
TampaBay,24,40,18,66,207,269,343,61,17.8,1280,26,15.9,405,89,78,4,8,34
Toronto,34,35,13,81,244,286,330,62,18.8,1113,12,13.7,308,78,74.7,6,7,40
Vancouver,45,27,10,100,243,213,357,67,18.8,1323,28,16.5,371,69,81.4,7,5,47
Washington,50,24,8,108,268,240,337,85,25.2,1021,20,12.7,387,75,80.6,7,9,45
