Insulation,Temperature,y
1,1,6.6
1,1,2.7
1,1,6
1,1,4
1,1,6.2
1,1,5
1,2,4.5
1,2,5.5
1,2,4.8
1,2,2.2
1,2,2.7
1,2,5.8
1,3,2.3
1,3,5.6
1,3,2.2
1,3,0.9
1,3,4.9
1,3,3.4
2,1,3
2,1,2.1
2,1,5.9
2,1,3.2
2,1,4.1
2,1,2.5
2,2,3
2,2,2.5
2,2,0.4
2,2,1.5
2,2,2.6
2,2,3.5
2,3,1.3
2,3,0.5
2,3,1.7
2,3,3.3
2,3,1.1
2,3,0.1
3,1,5.7
3,1,3.2
3,1,5.3
3,1,4.4
3,1,3.2
3,1,9.7
3,2,8.9
3,2,7
3,2,8
3,2,7.7
3,2,7.3
3,2,2.2
3,3,2.6
3,3,11.5
3,3,3.4
3,3,9.9
3,3,10.5
3,3,6.7
4,1,7
4,1,7.3
4,1,8.6
4,1,8.9
4,1,9
4,1,11.3
4,2,12
4,2,8.5
4,2,7.9
4,2,9.7
4,2,10.8
4,2,7.3
4,3,8.3
4,3,10.4
4,3,10.6
4,3,8
4,3,9.7
4,3,7.4
